Michael Jackson;Beat It;0.776;0.711;0.0;0.0;9.0569229E8
Michael Jackson;Smooth Criminal - 2012 Remaster;0.853;0.981;4.296;0.0;8.4652752E7
Michael Jackson;Rock with You - Single Version;0.808;0.535;0.0;0.0;3.01845824E8
Michael Jackson;Don't Stop 'Til You Get Enough;0.878;0.821;0.0;0.0;3.49102048E8
Michael Jackson;They Don't Care About Us;0.859;0.905;4.736;0.0;9.7868E8
Michael Jackson;Remember the Time;0.831;0.921;0.0;0.0;5.04057344E8
Michael Jackson;The Way You Make Me Feel - 2012 Remaster;0.877;0.854;0.0;0.0;4.36325408E8
Michael Jackson;Love Never Felt So Good;0.775;0.719;410.045;0.0;3.4332848E8
P!nk;Just Give Me a Reason (feat. Nate Ruess);0.778;0.547;404.555;0.0;1.51831373E9
P!nk;Never Gonna Not Dance Again;0.668;0.802;376.315;0.0;1.0941241E7
P!nk;Raise Your Glass;0.7;0.709;0.0;0.0;2.37232992E8
P!nk;Try;0.674;0.628;0.0;0.0;5.34286496E8
P!nk;So What;0.534;0.87;3.586;0.0;4.32775328E8
P!nk;What About Us;0.491;0.588;0.0;0.0;3.3983776E8
P!nk;Cover Me In Sunshine;0.473;0.592;230.955;0.0;8.0575504E7
P!nk;TRUSTFALL;0.636;0.888;0.0;0.0;3309247.0
P!nk;Who Knew;0.688;0.734;0.0;0.0;1.68736064E8
P!nk;True Love (feat. Lily Allen);0.457;0.823;384.555;0.0;1.49977264E8
Eminem;Mockingbird;0.637;0.678;0.0;0.0;7.196617E8
Eminem;Without Me;0.908;0.669;0.0;0.0;1.59048538E9
Eminem;The Real Slim Shady;0.949;0.661;0.0;0.0;7.7750714E8
Eminem;Superman;0.802;0.755;0.0;0.0;1.39257216E8
Eminem;Till I Collapse;0.548;0.847;0.0;0.0;1931315.0
Eminem;Stan;0.78;0.768;0.0;0.0;6.2302726E8
Eminem;Love The Way You Lie;0.749;0.925;438.955;0.0;2.53915699E9
Eminem;Godzilla (feat. Juice WRLD);0.808;0.745;0.0;0.0;5.4703962E8
Eminem;Sing For The Moment;0.668;0.824;0.0;0.0;4.54015872E8
Eminem;Not Afraid;0.855;0.954;413.555;0.0;1.72724122E9
Pharrell Williams;"Happy - From ""Despicable Me 2""";0.647;0.822;0.0;0.0;1.283968E8
Pharrell Williams;Down In Atlanta;0.851;0.819;0.0;0.0;3658044.0
Pharrell Williams;Feels (feat. Pharrell Williams, Katy Perry & Big Sean);0.893;0.745;372.355;0.0;6.7349523E8
Pharrell Williams;Cash In Cash Out;0.877;0.56;0.0;0.0;2.0392452E7
Pharrell Williams;Stay With Me (with Justin Timberlake, Halsey & Pharrell);0.81;0.733;0.0;0.0;2.664155E7
Pharrell Williams;Hit Different;0.679;0.516;33.668;0.0;1.2155932E8
Pharrell Williams;Neon Guts (feat. Pharrell Williams);0.859;0.563;431.315;0.0;3.5793144E7
Pharrell Williams;JUGGERNAUT (feat. Lil Uzi Vert & Pharrell Williams);0.827;0.571;0.0;0.0;1.1408003E7
Pharrell Williams;Just A Cloud Away;0.89;0.46;0.0;0.0;2672481.0
Pharrell Williams;Frontin' (feat. Jay-Z) - Club Mix;0.894;0.404;0.0;0.0;5.909504E7
Khalid;lovely (with Khalid);0.351;0.296;0.0;0.0;1.72138214E9
Khalid;Numb;0.912;0.774;259.315;0.0;2.5212794E7
Khalid;Silence;0.52;0.761;0.0;0.0;1.29183584E8
Khalid;Young Dumb & Broke;0.799;0.539;0.0;0.0;8.8634995E8
Khalid;Eastside (with Halsey & Khalid);0.632;0.686;0.0;0.0;6.324E8
Khalid;Better;0.596;0.552;3.822;0.0;8.6071814E8
Khalid;Location;0.736;0.449;0.0;0.0;5.4466682E8
Khalid;8TEEN;0.83;0.585;3.81;0.0;1381628.0
Khalid;Beautiful People (feat. Khalid);0.64;0.647;0.0;0.0;3.53454016E8
Khalid;Love Lies (with Normani);0.708;0.648;0.0;0.0;2.43497168E8
Shakira;Shakira: Bzrp Music Sessions, Vol. 53;0.778;0.632;363.815;0.0;2.52068992E8
Shakira;Monotonía;0.873;0.695;264.675;0.0;1.8913208E8
Shakira;Te Felicito;0.695;0.636;0.0;0.0;4.60717888E8
Shakira;Hips Don't Lie (feat. Wyclef Jean);0.778;0.824;0.0;0.0;1.21450803E9
Shakira;Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground);0.758;0.871;0.0;0.0;3.46381645E9
Shakira;DON'T YOU WORRY;0.831;0.868;0.0;0.0;1.44690544E8
Shakira;Dia de Enero;0.687;0.361;288.555;0.0;1.5176584E8
Shakira;Chantaje (feat. Maluma);0.852;0.773;3.264;0.0;2.80579302E9
Shakira;Inevitable;0.595;0.461;321.445;0.0;1.35287312E8
Shakira;Antologia;0.839;0.403;0.0;0.0;359765.0
Machine Gun Kelly;my ex's best friend (with blackbear);0.731;0.675;232.435;0.0;1.02439464E8
Machine Gun Kelly;I Think I'm OKAY (with YUNGBLUD & Travis Barker);0.628;0.744;0.0;0.0;1.11974896E8
Machine Gun Kelly;maybe (feat. Bring Me The Horizon);0.601;0.92;0.0;0.0;2.01703E7
Machine Gun Kelly;Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha);0.653;0.718;0.0;0.0;2.06242352E8
Machine Gun Kelly;forget me too (feat. Halsey);0.654;0.875;286.035;0.0;6.81162E7
Machine Gun Kelly;bloody valentine;0.533;0.858;0.0;0.0;1.17833944E8
Machine Gun Kelly;Bad Things (with Camila Cabello);0.697;0.691;0.0;0.0;4.49712608E8
Machine Gun Kelly;make up sex (feat. blackbear);0.665;0.678;0.0;0.0;1.539121E7
Machine Gun Kelly;F*CK YOU, GOODBYE (feat. Machine Gun Kelly);0.721;0.632;0.0;0.0;3.585652E7
Machine Gun Kelly;ay! (feat. Lil Wayne);0.742;0.617;20.698;0.0;1.9671018E7
Nicky Jam;X;0.594;0.749;28.809;0.0;2.1334592E9
Nicky Jam;El Perdón (with Enrique Iglesias);0.628;0.69;0.0;0.0;1.38166861E9
Nicky Jam;Bella y Sensual;0.635;0.713;0.0;0.0;7.367303E8
Nicky Jam;Nicky Jam: Bzrp Music Sessions, Vol. 41;0.627;0.849;0.0;0.0;592005.0
Nicky Jam;Cuaderno;0.681;0.648;0.0;0.0;3.2142016E8
Nicky Jam;En La Cama (feat. Daddy Yankee);0.855;0.912;261.705;0.0;1.1554312E8
Nicky Jam;Si Te Preguntan...;0.76;0.803;37.179;0.0;6.1711564E7
Nicky Jam;Hasta el Amanecer;0.832;0.608;0.0;0.0;1.54603674E9
Nicky Jam;Color Esperanza 2020;0.591;0.785;0.0;0.0;2.4706292E7
Nicky Jam;Donde Estan las Gatas;0.827;0.788;0.0;0.0;162725.0
The Beatles;Here Comes The Sun - Remastered 2009;0.557;0.54;309.555;0.0;1.14971784E8
The Beatles;Let It Be - Remastered 2009;0.443;0.403;405.045;0.0;1.31925112E8
The Beatles;Come Together - Remastered 2009;0.533;0.376;433.245;0.0;3.1607772E7
The Beatles;Yesterday - Remastered 2009;0.332;0.179;209.445;0.0;4.2856676E7
The Beatles;Twist And Shout - Remastered 2009;0.482;0.849;0.0;0.0;5.322836E7
The Beatles;Blackbird - Remastered 2009;0.686;0.127;230.645;0.0;3.3852948E7
The Beatles;In My Life - Remastered 2009;0.688;0.435;0.0;0.0;6.322312E7
The Beatles;Hey Jude - Remastered 2015;0.386;0.607;0.0;0.0;5.6888768E7
The Beatles;I Want To Hold Your Hand - Remastered 2015;0.49;0.715;0.0;0.0;2.8799448E7
The Beatles;Something - Remastered 2009;0.396;0.338;0.0;0.0;9.6849736E7
Pitbull;Give Me Everything (feat. Ne-Yo, Afrojack & Nayer);0.671;0.939;0.0;0.0;1.00759616E9
