Artist;Track;Album;Album_type;Danceability;Energy;Loudness;Speechiness;Acousticness;Instrumentalness;Liveness;Valence;Tempo;Duration_min;Title;Channel;Views;Likes;Comments;Licensed;official_video;Stream;EnergyLiveness;most_playedon
Daft Punk;Get Lucky (feat. Pharrell Williams & Nile Rodgers);Random Access Memories;album;0.81;793;-9404;403;378;1.77e-06;72;863;116.05;616.045;Daft Punk - Get Lucky (Official Video) feat. Pharrell Williams and Nile Rodgers;convar HUN;32310867.0;956073.0;19646.0;FALSE;FALSE;400304719.0;11.013.888.888.888.800;Spotify
Daft Punk;Around the World;Homework;album;956;795;-5311;0.15;356;889;906;841;121294;7.158.883.333.333.330;Daft Punk - Around The World (Official Music Video Remastered);Daft Punk;38218353.0;466569.0;11904.0;TRUE;TRUE;293417547.0;8.774.834.437.086.090;Spotify
Daft Punk;Harder, Better, Faster, Stronger;Discovery;album;817;716;-8898;144;427;263;358;692;123474;3.744.883.333.333.330;Daft Punk - Harder, Better, Faster, Stronger (Official Video);Daft Punk;121308880.0;1329678.0;70754.0;TRUE;TRUE;292668007.0;2.0;Spotify
Daft Punk;Something About Us;Discovery;album;875;475;-12673;986;0.44;0.72;46;384;99958;38.777.833.333.333.300;Daft Punk - Something About Us (Official Video);Daft Punk;77464307.0;723914.0;23915.0;TRUE;TRUE;185381876.0;10.326.086.956.521.700;Spotify
Daft Punk;Lose Yourself to Dance (feat. Pharrell Williams);Random Access Memories;album;832;659;-7828;57;839;114;753;674;100163;5.898.216.666.666.660;Daft Punk - Lose Yourself to Dance (Official Version);DaftPunkVEVO;195983803.0;1115598.0;37436.0;TRUE;TRUE;274711166.0;8.751.660.026.560.420;Spotify
Daft Punk;Veridis Quo;Discovery;album;605;687;-13928;45;479;949;104;0.12;106896;5.753.116.666.666.660;Daft Punk - Veridis Quo (Official Video);Daft Punk;23984070.0;216822.0;7260.0;TRUE;TRUE;90589464.0;6.605.769.230.769.230;Spotify
Daft Punk;Digital Love;Discovery;album;644;664;-8398;332;48;867;342;0.53;124726;5.022.883.333.333.330;Daft Punk - Digital Love (Official Video);Daft Punk;30079390.0;203063.0;8957.0;TRUE;TRUE;115484456.0;19.415.204.678.362.500;Spotify
Linkin Park;In the End;Hybrid Theory (Bonus Edition);album;556;864;-5.87;584;958;0.0;209;0.4;105143;36.146.666.666.666.600;In The End [Official HD Music Video] - Linkin Park;Linkin Park;1487186392.0;10183387.0;409471.0;TRUE;TRUE;1444841705.0;4.133.971.291.866.020;Youtube
Linkin Park;Numb;Meteora;album;496;863;-4153;381;46;0.0;639;243;110018;30.931.166.666.666.600;Numb [Official Music Video] - Linkin Park;Linkin Park;1928733776.0;12341722.0;550921.0;TRUE;TRUE;1195213410.0;1.350.547.730.829.420;Youtube
Linkin Park;What I've Done;Minutes to Midnight;album;623;0.93;-5285;324;141;1.64e-06;138;287;120119;34.268.833.333.333.300;What I've Done [Official Music Video] - Linkin Park;Linkin Park;587927093.0;3370635.0;148741.0;TRUE;TRUE;589294152.0;6.739.130.434.782.600;Spotify
Linkin Park;Numb / Encore;Numb / Encore: MTV Ultimate Mash-Ups Presents Collision Course;single;687;793;-4254;166;603;0.0;582;751;107045;34.288.833.333.333.300;Numb/Encore [Live] - Linkin Park & Jay Z;Linkin Park;44436981.0;226771.0;9260.0;TRUE;TRUE;778880225.0;13.625.429.553.264.600;Spotify
Linkin Park;One Step Closer;Hybrid Theory (Bonus Edition);album;492;969;-4419;491;14;1.32e-06;787;538;95136;26.222.166.666.666.600;One Step Closer [Official HD Music Video] - Linkin Park;Linkin Park;154808291.0;1102031.0;33750.0;TRUE;TRUE;447287242.0;12.312.579.415.501.900;Spotify
Linkin Park;Faint;Meteora;album;554;978;-3554;131;111;0.0;731;594;135095;2.71;Faint [Official Music Video] - Linkin Park;Linkin Park;378323695.0;2061834.0;65731.0;TRUE;TRUE;413355749.0;13.378.932.968.536.200;Spotify
Linkin Park;Bleed It Out;Minutes to Midnight;album;529;967;-3647;508;114;0.0;0.61;596;140127;2.772.883.333.333.330;Bleed It Out [Official Music Video] - Linkin Park;Linkin Park;135176149.0;762715.0;27609.0;TRUE;TRUE;388331061.0;15.852.459.016.393.400;Spotify
Linkin Park;Papercut;Hybrid Theory (Bonus Edition);album;524;939;-3994;113;22;0.0;623;661;150184;30.811.166.666.666.600;Papercut [Official HD Music Video] - Linkin Park;Linkin Park;240834555.0;1400306.0;50003.0;TRUE;TRUE;345142662.0;1.507.223.113.964.680;Spotify
Linkin Park;Crawling;Hybrid Theory (Bonus Edition);album;0.58;702;-5565;337;466;3.2e-06;536;299;105076;3.482.666.666.666.660;Crawling [Official HD Music Video] - Linkin Park;Linkin Park;374506972.0;2197293.0;96490.0;TRUE;TRUE;391929621.0;13.097.014.925.373.100;Spotify
Linkin Park;BURN IT DOWN;LIVING THINGS;album;585;972;-4.45;534;143;0.0;707;585;110006;383.755;BURN IT DOWN [Official Music Video] - Linkin Park;Linkin Park;353135986.0;2534190.0;113567.0;TRUE;TRUE;368132993.0;13.748.231.966.053.700;Spotify
Radiohead;Creep;Pablo Honey;album;515;0.43;-9935;372;97;133;129;104;91844;3.977.333.333.333.330;Radiohead - Creep;Radiohead;763497849.0;4777393.0;147276.0;TRUE;TRUE;1101854725.0;3.333.333.333.333.330;Spotify
Radiohead;No Surprises;OK Computer;album;255;393;-10654;278;577;361;113;118;76426;38.186.666.666.666.600;Radiohead - No Surprises;Radiohead;167847274.0;1274934.0;40034.0;TRUE;TRUE;379349681.0;347.787.610.619.469;Spotify
