Artist;Track;Album;Album_type;Danceability;Energy;Loudness;Speechiness;Acousticness;Instrumentalness;Liveness;Valence;Tempo;Duration_min;Title;Channel;Views;Likes;Comments;Licensed;official_video;Stream;EnergyLiveness;most_playedon;;;
Daft Punk;One More Time;Discovery;album;613;697;-8618;133;0.0194;0.0;332;476;122746;5.339283333333333;Daft Punk - One More Time (Official Video);Daft Punk;432177586.0;2707992.0;110189.0;True;True;471747761.0;2.0993975903614457;Spotify;;;
Daft Punk;Instant Crush (feat. Julian Casablancas);Random Access Memories;album;775;585;-9516;0.0271;0.0422;619;77;518;109942;5626;Daft Punk - Instant Crush (Video) ft. Julian Casablancas;DaftPunkVEVO;606828966.0;3111505.0;87115.0;True;True;460589724.0;7.597402597402597;Youtube;;;
Daft Punk;Get Lucky (feat. Pharrell Williams & Nile Rodgers);Random Access Memories;album;0.81;793;-9404;0.0403;0.0378;1.77e-06;72;863;116.05;6.16045;Daft Punk - Get Lucky (Official Video) feat. Pharrell Williams and Nile Rodgers;convar HUN;32310867.0;956073.0;19646.0;False;False;400304719.0;11.013888888888891;Spotify;;;
Daft Punk;Around the World;Homework;album;956;795;-5311;0.15;0.00356;889;0.0906;841;121294;7.158883333333334;Daft Punk - Around The World (Official Music Video Remastered);Daft Punk;38218353.0;466569.0;11904.0;True;True;293417547.0;8.774834437086094;Spotify;;;
Daft Punk;Harder, Better, Faster, Stronger;Discovery;album;817;716;-8898;144;0.0427;0.00263;358;692;123474;3.744883333333333;Daft Punk - Harder, Better, Faster, Stronger (Official Video);Daft Punk;121308880.0;1329678.0;70754.0;True;True;292668007.0;2.0;Spotify;;;
Daft Punk;Something About Us;Discovery;album;875;475;-12673;0.0986;0.44;0.72;46;384;99958;3.8777833333333334;Daft Punk - Something About Us (Official Video);Daft Punk;77464307.0;723914.0;23915.0;True;True;185381876.0;10.326086956521738;Spotify;;;
Daft Punk;Lose Yourself to Dance (feat. Pharrell Williams);Random Access Memories;album;832;659;-7828;57;0.0839;0.00114;0.0753;674;100163;5.898216666666666;Daft Punk - Lose Yourself to Dance (Official Version);DaftPunkVEVO;195983803.0;1115598.0;37436.0;True;True;274711166.0;8.751660026560424;Spotify;;;
Daft Punk;Veridis Quo;Discovery;album;605;687;-13928;45;479;949;104;0.12;106896;5.753116666666667;Daft Punk - Veridis Quo (Official Video);Daft Punk;23984070.0;216822.0;7260.0;True;True;90589464.0;6.605769230769232;Spotify;;;
Daft Punk;Digital Love;Discovery;album;644;664;-8398;0.0332;48;867;342;0.53;124726;5.022883333333334;Daft Punk - Digital Love (Official Video);Daft Punk;30079390.0;203063.0;8957.0;True;True;115484456.0;1.9415204678362572;Spotify;;;
Linkin Park;In the End;Hybrid Theory (Bonus Edition);album;556;864;-5.87;0.0584;0.00958;0.0;209;0.4;105143;3.6146666666666665;In The End [Official HD Music Video] - Linkin Park;Linkin Park;1487186392.0;10183387.0;409471.0;True;True;1444841705.0;4.133971291866029;Youtube;;;
Linkin Park;Numb;Meteora;album;496;863;-4153;0.0381;0.0046;0.0;639;243;110018;3.0931166666666665;Numb [Official Music Video] - Linkin Park;Linkin Park;1928733776.0;12341722.0;550921.0;True;True;1195213410.0;1.350547730829421;Youtube;;;
Linkin Park;What I've Done;Minutes to Midnight;album;623;0.93;-5285;0.0324;0.0141;1.64e-06;138;287;120119;3.4268833333333335;What I've Done [Official Music Video] - Linkin Park;Linkin Park;587927093.0;3370635.0;148741.0;True;True;589294152.0;6.739130434782608;Spotify;;;
Linkin Park;Numb / Encore;Numb / Encore: MTV Ultimate Mash-Ups Presents Collision Course;single;687;793;-4254;166;0.0603;0.0;582;751;107045;3.4288833333333333;Numb/Encore [Live] - Linkin Park & Jay Z;Linkin Park;44436981.0;226771.0;9260.0;True;True;778880225.0;1.3625429553264605;Spotify;;;
Linkin Park;One Step Closer;Hybrid Theory (Bonus Edition);album;492;969;-4419;0.0491;0.0014;1.32e-06;0.0787;538;95136;2.6222166666666666;One Step Closer [Official HD Music Video] - Linkin Park;Linkin Park;154808291.0;1102031.0;33750.0;True;True;447287242.0;12.312579415501904;Spotify;;;
Linkin Park;Faint;Meteora;album;554;978;-3554;131;111;0.0;0.0731;594;135095;2.71;Faint [Official Music Video] - Linkin Park;Linkin Park;378323695.0;2061834.0;65731.0;True;True;413355749.0;13.378932968536251;Spotify;;;
Linkin Park;Bleed It Out;Minutes to Midnight;album;529;967;-3647;0.0508;114;0.0;0.61;596;140127;2.772883333333333;Bleed It Out [Official Music Video] - Linkin Park;Linkin Park;135176149.0;762715.0;27609.0;True;True;388331061.0;1.5852459016393443;Spotify;;;
Linkin Park;Papercut;Hybrid Theory (Bonus Edition);album;524;939;-3994;113;0.00022;0.0;623;661;150184;3.0811166666666665;Papercut [Official HD Music Video] - Linkin Park;Linkin Park;240834555.0;1400306.0;50003.0;True;True;345142662.0;1.507223113964687;Spotify;;;
Linkin Park;Crawling;Hybrid Theory (Bonus Edition);album;0.58;702;-5565;0.0337;0.0466;3.2e-06;536;299;105076;3.482666666666667;Crawling [Official HD Music Video] - Linkin Park;Linkin Park;374506972.0;2197293.0;96490.0;True;True;391929621.0;1.3097014925373134;Spotify;;;
Linkin Park;BURN IT DOWN;LIVING THINGS;album;585;972;-4.45;0.0534;0.0143;0.0;0.0707;585;110006;3.83755;BURN IT DOWN [Official Music Video] - Linkin Park;Linkin Park;353135986.0;2534190.0;113567.0;True;True;368132993.0;13.748231966053748;Spotify;;;
